date,confidence_index,housing_price_index
1/1/1990,49.312,106.525
4/1/1990,48.512,106.512
7/1/1990,48.845,106.041
10/1/1990,48.431,105.623
1/1/1991,49.826,105.908
4/1/1991,50.671,105.753
7/1/1991,49.884,106.067
10/1/1991,46.82,107.294
1/1/1992,46.583,107.227
4/1/1992,48.544,107.378
7/1/1992,51.376,107.514
10/1/1992,51.614,107.544
1/1/1993,50.989,107.052
4/1/1993,50.881,107.8
7/1/1993,52.783,107.14
10/1/1993,51.116,107.729
1/1/1994,50.869,107.677
4/1/1994,51.343,107.032
7/1/1994,49.227,107.176
10/1/1994,47.723,107.48
1/1/1995,47.552,107.645
4/1/1995,48.153,110.247
7/1/1995,49.839,111.451
10/1/1995,50.096,111.422
1/1/1996,49.707,112.188
4/1/1996,50.141,112.898
7/1/1996,50.855,112.108
10/1/1996,50.336,112.502
1/1/1997,49.89,111.878
4/1/1997,50.008,113.031
7/1/1997,50.654,113.043
10/1/1997,50.191,112.55
1/1/1998,50.617,113.136
4/1/1998,50.433,113.324
7/1/1998,52.061,112.176
10/1/1998,51.172,111.823
1/1/1999,52.129,113.269
4/1/1999,52.031,114.079
7/1/1999,51.215,115.021
10/1/1999,49.98,115.231
1/1/2000,49.705,114.805
4/1/2000,50.375,113.387
7/1/2000,50.471,112.788
10/1/2000,50.119,112.705
1/1/2001,51.32,112.929
4/1/2001,50.82,113.623
7/1/2001,50.607,114.511
10/1/2001,47.865,114.442
1/1/2002,48.351,114.749
4/1/2002,47.107,114.819
7/1/2002,49.922,114.963
10/1/2002,50.112,113.771
1/1/2003,50.972,113.697
4/1/2003,48.703,113.143
7/1/2003,49.669,113.664
10/1/2003,49.862,113.207
1/1/2004,49.812,112.315
4/1/2004,50.119,113.283
7/1/2004,49.188,114.109
10/1/2004,49.288,115.028
1/1/2005,50.328,113.462
4/1/2005,49.13,114.509
7/1/2005,50.233,113.947
10/1/2005,50.087,113.914
1/1/2006,50.322,112.759
4/1/2006,49.83,113.17
7/1/2006,48.478,113.665
10/1/2006,49.64,112.993
1/1/2007,48.151,113.472
4/1/2007,49.049,114.938
7/1/2007,50.492,114.314
10/1/2007,49.034,114.191
1/1/2008,49.923,114.458
4/1/2008,50.309,116.019
7/1/2008,49.678,118.337
10/1/2008,48.111,119.204
1/1/2009,48.923,119.983
4/1/2009,47.923,119.965
7/1/2009,48.242,119.971
10/1/2009,49.633,119.139
1/1/2010,50.116,120.78
4/1/2010,51.674,120.434
7/1/2010,50.863,120.79
10/1/2010,50.04,119.773
1/1/2011,50.663,120.35
4/1/2011,50.113,119.18
7/1/2011,49.623,119.297
10/1/2011,50.226,120.263
1/1/2012,50.54,120.649
4/1/2012,50.355,120.367
7/1/2012,51.26,120.434
10/1/2012,50.58,119.593
1/1/2013,49.823,119.549
4/1/2013,49.139,119.9
7/1/2013,50.056,121.015
10/1/2013,49.574,121.094
1/1/2014,48.813,122.379
4/1/2014,50.639,121.399
7/1/2014,49.649,122.147
10/1/2014,50.326,121.715
1/1/2015,48.919,121.449
4/1/2015,49.9,120.989
7/1/2015,49.666,121.604
10/1/2015,50.686,121.169
1/1/2016,51.127,121.952
4/1/2016,50.504,123.541
7/1/2016,50.315,122.534
10/1/2016,48.569,123.618
1/1/2017,48.246,124.554
4/1/2017,48.859,126.993
7/1/2017,50.66,125.875
10/1/2017,50.263,124.871
1/1/2018,48.752,125.246
4/1/2018,50.813,125.256
7/1/2018,50.708,125.417
10/1/2018,51.368,124.013
1/1/2019,49.082,124.299
4/1/2019,49.141,125.186
7/1/2019,49.769,125.723
10/1/2019,49.427,126.217
1/1/2020,47.585,125.932
4/1/2020,47.066,126.792
7/1/2020,48.268,127.377
10/1/2020,50.761,127.348
1/1/2021,50.448,128.117
4/1/2021,49.462,128.01
7/1/2021,50.347,127.81
10/1/2021,50.431,128.87
1/1/2022,50.809,128.515
4/1/2022,52.594,129
7/1/2022,50.966,128.626
10/1/2022,48.634,128.647
1/1/2023,47.986,130.352
4/1/2023,49.522,130.725
7/1/2023,49.817,130.795
10/1/2023,51.239,130.444
1/1/2024,52.058,131.125
4/1/2024,51.741,131.749
7/1/2024,50.519,131.522
10/1/2024,50.432,133.084
